,detected_date,marketplace,search_keyword,img_src,href,product_title,price_value,seller_info
33,2022-10-04 19:41:11,Ubuy,daum,https://i5.walmartimages.com/asr/927560f7-f2b1-486f-bc7e-61bafb852e2f_1.b33f3cb04560d96c68f06fe8c22b462f.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/1MVBQI5M-businessplan-mobillig-gmbh-paperback,Businessplan Mobillig GmbH (Paperback),BHD 10,US Store
34,2022-10-04 19:41:11,Ubuy,daum,https://i5.walmartimages.com/asr/ece2c6ab-33cd-47b9-9d20-9f4362735ec7.7b4b76eb8c6c3225d89f54f4e58595d9.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/7ILDYQG08-green-ense-for-the-home-rating-the-real-payoff-from-50-green-home-projects-9781600851551-used-pre-owned,Green$ense for the Home : Rating the Real Payoff from 50 Green Home Projects ...,BHD 5,US Store
35,2022-10-04 19:41:11,Ubuy,daum,https://i5.walmartimages.com/asr/2d90de0f-b6af-4490-87ad-8f0eb0ca0d84.350786a48eb687c91673e28558899816.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/4R8YOMMY4-the-new-gilded-age-the-new-yorker-looks-at-the-culture-of-affluence-pre-owned-hardcover-0375505415-9780375505416-remnick-david,"The New Gilded Age: The New Yorker Looks at the Culture of Affluence, Pre-Owned ...",BHD 5,US Store
36,2022-10-04 19:41:11,Ubuy,daum,https://i5.walmartimages.com/asr/fb026e60-b81b-42b1-8908-5171aa0e26a7.ed4f000876a04c8626b8e464509bb89b.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/4WFHNJ6E0-how-to-persuade-people-who-dont-want-to-be-persuaded-get-what-you-want-every-time-pre-owned-hardcover-0471647977-9780471647973-joel-bauer,How to Persuade People Who Dont Want to be Persuaded: Get What You Want-Every ...,BHD 5,US Store
37,2022-10-04 19:41:11,Ubuy,daum,https://i5.walmartimages.com/asr/ad0d885b-6728-4d49-adc3-bbac3ce977c2.fe55580cdf935acbd7df4d9206b26163.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/79HX81HVG-studies-of-parathion-and-ddt-residues-on-mcintosh-apples-richard-j-daum-and-james-e-dewey-volume-v-386-1963-1963-leather-bound,Studies of parathion and DDT residues on McIntosh apples / Richard J. Daum and ...,BHD 24,US Store
38,2022-10-04 19:41:11,Ubuy,daum,https://i5.walmartimages.com/asr/b637a149-20aa-49f7-bce3-4c9eace39f48.ef74425ac348d6049b883a8c4c37002b.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/7ILDYQG2C-aboe-bakar-indische-roman-door-maurits-i-e-p-a-daum-volume-1-2-1894-leatherbound,Aboe bakar : Indische roman / door Maurits [i. e. P. A. Daum]. Volume 1-2 (1894) ...,BHD 28,US Store
39,2022-10-04 19:41:11,Ubuy,daum,https://i5.walmartimages.com/asr/a540ad90-3b65-4817-91f8-22bf36adeec7_1.eb848ffae9ac0e3c235e65429495806e.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/1MVBQH8W-my-misspent-youth-essays-paperback,My Misspent Youth : Essays (Paperback),BHD 9,US Store
40,2022-10-04 19:41:11,Ubuy,daum,https://i5.walmartimages.com/asr/9e94247c-bfae-4f00-aa18-468958beb420_1.b39246a3513ae00a9cc05799080cacd8.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/41GF5HRU0-atypische-beschftigung-teilzeitarbeit-befristete-beschftigung-und-leiharbeit-in-deutschland-und-grobritannien-paperback,"Atypische Beschftigung : Teilzeitarbeit, befristete Beschftigung und Leiharbeit in ...",BHD 22,US Store
41,2022-10-04 19:41:11,Ubuy,daum,https://i.ebayimg.com/thumbs/images/g/JkYAAOSwO-ljOIJ-/s-l225.jpg,https://www.ubuy.com.bh/en/product/7MUX3APNC-new-daum-crystal-mini-rose-passion-vase-green-pink-05264-1-c-brand-nib-f-sh,NEW DAUM CRYSTAL MINI ROSE PASSION VASE GREEN & PINK #05264-1/C BRAND NIB F/SH,BHD 138,US Store
42,2022-10-04 19:41:11,Ubuy,daum,https://i.ebayimg.com/thumbs/images/g/nyUAAOSwn21i1DrF/s-l225.jpg,https://www.ubuy.com.bh/en/product/5C6VE2S86-new-daum-crystal-mini-amber-tulip-vase-05158-c-brand-nib-french-save-f-sh,NEW DAUM CRYSTAL MINI AMBER TULIP VASE #05158/C BRAND NIB FRENCH SAVE$$ F/SH,BHD 138,US Store
